confirmed artifacts

TICID     ! 2MASS            ! comments
----------+------------------+------------
269701145 ! 20080397+6651023 ! near TOI 1339
 27462105 ! 14274226+4157123 ! near 158025009 ! 14274177+4157124 !
178819687 ! 12575199-3945275 !
178819685 ! 12575242-3945196 !
 94986318 ! 05272486-1416301 !
233087859 ! 18084971+6040417 ! near TOI-1184   NEW
233087857 ! 18084897+6040463 ! near TOI-1184   NEW
 64071892 ! 02363253-2214346 ! 


Artifact candidates till sector 23 (included) as by May 8th 2020

TOI     !  TICIDTOI ! TICIDArti ! qual ! rdist ! tessmag ! tessmag ! d(tessmag)
1679.01 !   9837861 !   9837862 !  AUU ! 14.90 !    9.90 !   16.94 ! -7.04
1316.01 !  15565627 !  15565619 !  BUU !  9.43 !   10.33 !   17.09 ! -6.76
 652.01 !  22221375 !  22221371 !  DUU ! 11.80 !    7.36 !   16.02 ! -8.65
1058.01 !  31553893 !  31553884 !  DUU ! 15.83 !    9.38 !   16.77 ! -7.39
 722.01 !  38509907 !  38509904 !  BUU !  9.62 !   11.98 !   16.96 ! -4.99
1778.01 !  39699648 !  39699647 !  UAU !  5.92 !    8.46 !   14.31 ! -5.85
 804.01 !  41227743 !  41173107 !  UUC !  8.76 !   10.71 !   16.72 ! -6.00
 280.01 !  42054565 !  42054566 !  DUU !  4.19 !   10.00 !   15.42 ! -5.42
1159.01 !  48188920 !  48188921 !  UDU !  2.54 !    9.59 !    9.61 ! -0.02
 658.01 !  48476907 !  48476910 !  DUU !  6.40 !    9.54 !   16.63 ! -7.09
 659.01 !  48476908 !  48476910 !  DUU !  6.38 !   10.24 !   16.63 ! -6.38
 544.01 !  50618703 !  50618707 !  UCU !  9.42 !    9.65 !   16.54 ! -6.89
 998.01 !  54390047 !  54390040 !  UDU !  7.72 !    9.70 !   16.44 ! -6.74
1398.01 !  66445643 !  66445644 !  UBU !  5.52 !    8.63 !   14.99 ! -6.36
1484.01 !  67309890 !  67309889 !  AUU !  6.23 !   10.21 !   16.15 ! -5.94
1196.01 !  69068526 !  69068516 !  AUU !  2.63 !   10.43 !   12.94 ! -2.51
1674.01 !  73104318 !  73104319 !  AUU !  5.31 !    9.47 !   14.59 ! -5.12
1674.01 !  73104318 !  73104317 !  DUU !  9.22 !    9.47 !   17.46 ! -7.99
 665.01 !  73723286 !  73671658 !  AUU !  4.96 !    9.11 !   15.36 ! -6.24
1821.01 !  82308728 !  85267392 !  BUU ! 18.84 !    6.99 !   13.56 ! -6.58
1722.01 !  85242435 !  85242436 !  DUU !  5.89 !    9.53 !   15.33 ! -5.81
